rank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)
1	C10H13N5O4	[M + H]+	C10H13N5O4	24.203257616960094	21.1902019142994	3.013055702660695	8	0.8726070657059855	2.438910789540426	2.438910789540426	2.1247375444981853
2	C11H9N9	[M + H]+	C11H9N9	21.69264283737448	18.364764516580586	3.327878320793894	6	0.8638082202657129	0.8078988409581644	2.4234233583258487	-2.8635841776288267
3	C8H15F2N5OS	[M + H]+	C8H15F2N5OS	16.4815336823967	14.222199014419655	2.259334667977048	8	0.8726070657059855	1.1235729354876614	3.3709539768786403	2.9317210875254576
4	C6H12B3F3O6	[M + H]+	C6H12B3F3O6	11.634245396488241	11.634245396488241	0.0	5	0.9301925940811248	-0.16865090616949335	2.8404696163209207	-0.31784643194090045
5	C8H16ClN7	[M + Na]+	C8H16ClN7	10.962031386020481	10.962031386020481	0.0	7	0.9480627292985339	1.9725406841747504	2.211203872787202	-0.7157359125014456
6	C13H15N3O2	[M + Na]+	C13H15N3O2	8.936361362414969	6.358832449159413	2.5775289132555557	8	0.19472673534395266	3.13244034925747	3.8591375146259015	-3.9067591175797096
7	C13H10BFN4O	[M + H]+	C13H10BFN4O	7.243803416680844	7.243803416680844	0.0	8	0.11737362254005247	2.3507661009806813	2.6051622473801617	1.948448141077114
8	C12H17BO4S	[M + H]+	C12H17BO4S	6.851478982533385	6.851478982533385	0.0	4	0.8870541688199313	-2.020276883614588	3.2381834533635754	-1.37437436918382
9	C8H18N3O5P	[M + H]+	C8H18N3O5P	6.8282738185465455	6.15325903917075	0.6750147793757961	8	0.1947267353439526	1.1235729354876614	3.2381834533635754	-4.042295770175173
10	C10H19N3O3	[M + K]+	C10H19N3O3	4.852784014877759	4.852784014877759	0.0	6	0.06733380104993829	1.1235729354876614	3.13244034925747	-4.47425404300715
