identifier,SMILES,retention_time,area,conc_M
Atrazine,CCN=C1N=C(Cl)NC(=NC(C)C)N1,9.517102,1.65E+09,1.93E-06
Atrazine,CCN=C1N=C(Cl)NC(=NC(C)C)N1,9.517102,7.24E+08,8.29E-07
Atrazine,CCN=C1N=C(Cl)NC(=NC(C)C)N1,9.517102,3.89E+08,4.24E-07
Atrazine,CCN=C1N=C(Cl)NC(=NC(C)C)N1,9.517102,2.33E+08,2.48E-07
Atrazine,CCN=C1N=C(Cl)NC(=NC(C)C)N1,9.517102,8.43E+07,8.51E-08
Caffeine,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,4.440166,1.85E+08,3.06E-06
Caffeine,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,4.440166,7.88E+07,1.24E-06
Caffeine,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,4.440166,3.98E+07,5.79E-07
Caffeine,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,4.440166,2.34E+07,3.34E-07
Caffeine,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,4.440166,7.40E+06,1.02E-07
Imazalil,C=CCOC(CN1C=CN=C1)C2=CC=C(C=C2Cl)Cl,6.967284,1.29E+09,8.73E-07
Imazalil,C=CCOC(CN1C=CN=C1)C2=CC=C(C=C2Cl)Cl,6.967284,6.58E+08,4.20E-07
Imazalil,C=CCOC(CN1C=CN=C1)C2=CC=C(C=C2Cl)Cl,6.967284,3.64E+08,2.19E-07
Imazalil,C=CCOC(CN1C=CN=C1)C2=CC=C(C=C2Cl)Cl,6.967284,2.23E+08,1.26E-07
Imazalil,C=CCOC(CN1C=CN=C1)C2=CC=C(C=C2Cl)Cl,6.967284,7.70E+07,3.93E-08
Simazine,CCN=C1N=C(Cl)NC(=NCC)N1,8.08,1.35E+09,2.29E-06
Simazine,CCN=C1N=C(Cl)NC(=NCC)N1,8.08,6.01E+08,9.66E-07
Simazine,CCN=C1N=C(Cl)NC(=NCC)N1,8.08,3.19E+08,4.95E-07
Simazine,CCN=C1N=C(Cl)NC(=NCC)N1,8.08,2.02E+08,3.01E-07
Simazine,CCN=C1N=C(Cl)NC(=NCC)N1,8.08,6.76E+07,9.47E-08
Tetraethylammonium,CC[N+](CC)(CC)CC,1.7028876,1.27E+09,1.13E-06
Tetraethylammonium,CC[N+](CC)(CC)CC,1.7028876,5.89E+08,6.22E-07
Tetraethylammonium,CC[N+](CC)(CC)CC,1.7028876,2.90E+08,3.59E-07
Tetraethylammonium,CC[N+](CC)(CC)CC,1.7028876,1.81E+08,2.41E-07
Tetraethylammonium,CC[N+](CC)(CC)CC,1.7028876,5.67E+07,9.90E-08
Theophylline,CN1C2=C(C(=O)N(C)C1=O)N=CN2,3.73,22048982.99,
5890,,2.07,1.87E+07,
